tree,genotype,state,month,day,year,date,vcmax,jmax,amax,conductance,transpiration
I14,311-93,WA/Europe,august,3,2013,8/3/2013,85.80542126,146.5515954,,,
A02,199-586,WA/OK,october,20,2013,10/20/2013,88.11760576,219.0593816,,,
A09,50-194,WA/IL,october,20,2013,10/20/2013,103.4105526,240.0835461,,,
A19,199-586,WA/OK,october,20,2013,10/20/2013,75.49786506,180.9801,,,
B05,R-270,Unknown/Europe,october,20,2013,10/20/2013,55.2928856,114.6260245,,,
B11,180-372,WA/MN,october,20,2013,10/20/2013,61.95580217,149.5349895,,,
B16,311-93,WA/Europe,october,20,2013,10/20/2013,68.06518464,172.8281959,,,
C05,49-177A,WA/TX,october,20,2013,10/20/2013,77.85770455,184.2051797,,,
C06,309-74,WA/Europe,october,20,2013,10/20/2013,90.76398554,219.2876862,,,
C07,309-74,WA/Europe,october,20,2013,10/20/2013,67.49538085,134.3894803,,,
C15,49-177A,WA/TX,october,20,2013,10/20/2013,71.38956765,177.5703461,,,
D08,49-177,WA/TX,october,20,2013,10/20/2013,72.7994851,163.8712246,,,
D09,199-586,WA/OK,october,20,2013,10/20/2013,83.68808989,235.8194149,,,
D14,49-177,WA/TX,october,20,2013,10/20/2013,98.61598836,223.0111264,,,
D18,311-93,WA/Europe,october,20,2013,10/20/2013,80.34191714,181.2672909,,,
E02,50-194,WA/IL,october,20,2013,10/20/2013,92.49189857,227.0709269,,,
E03,57-276,WA/MO,october,20,2013,10/20/2013,72.36781882,180.4033589,,,
E04,R-270,Unknown/Europe,october,20,2013,10/20/2013,76.57497706,165.0537781,,,
E18,180-372,WA/MN,october,20,2013,10/20/2013,50.06699143,133.9454972,,,
E19,DN-34,Euro-Americana/Euro-Americana,october,20,2013,10/20/2013,78.20414298,162.939714,,,
F04,49-177,WA/TX,october,20,2013,10/20/2013,97.98377946,201.2043199,,,
F09,50-194,WA/IL,october,20,2013,10/20/2013,86.6264316,185.2812544,,,
F11,DN-34,Euro-Americana/Euro-Americana,october,20,2013,10/20/2013,71.96321846,164.577485,,,
F12,49-177A,WA/TX,october,20,2013,10/20/2013,90.64947169,208.5066826,,,
F16,57-276,WA/MO,october,20,2013,10/20/2013,87.5121368,226.13109,,,
G02,DN-34,Euro-Americana/Euro-Americana,october,20,2013,10/20/2013,88.95226548,199.6971061,,,
G05,311-93,WA/Europe,october,20,2013,10/20/2013,53.46124973,154.2878808,,,
G18,57-276,WA/MO,october,20,2013,10/20/2013,87.55233062,206.7767037,,,
H04,180-372,WA/MN,october,20,2013,10/20/2013,70.04099073,151.2815144,,,
H14,309-74,WA/Europe,october,20,2013,10/20/2013,79.40121253,188.9163144,,,
J09,R-270,Unknown/Europe,october,20,2013,10/20/2013,87.35120578,167.6783262,,,
A02,199-586,WA/OK,november,19,2013,11/19/2013,65.41335193,162.448824,,,
A07,R-270,Unknown/Europe,november,19,2013,11/19/2013,76.35020457,187.302544,,,
A09,50-194,WA/IL,november,19,2013,11/19/2013,92.24829014,244.5735465,,,
A14,DN-34,Euro-Americana/Euro-Americana,november,19,2013,11/19/2013,74.49264738,181.9345204,,,
B11,180-372,WA/MN,november,19,2013,11/19/2013,72.72172339,192.3307315,,,
D10,49-177,WA/TX,november,19,2013,11/19/2013,80.0507212,180.7529511,,,
D18,311-93,WA/Europe,november,19,2013,11/19/2013,83.21894595,215.0375143,,,
F08,57-276,WA/MO,november,19,2013,11/19/2013,42.07288761,120.9127266,,,
G06,49-177A,WA/TX,november,19,2013,11/19/2013,53.61467204,142.749819,,,
H14,309-74,WA/Europe,november,19,2013,11/19/2013,72.63089366,182.1058807,,,
A13,50-194,WA/IL,november,20,2013,11/20/2013,56.85986845,176.4284443,,,
C08,DN-34,Euro-Americana/Euro-Americana,november,20,2013,11/20/2013,49.20811517,130.6242764,,,
C17,199-586,WA/OK,november,20,2013,11/20/2013,43.79677497,107.4230153,,,
D11,49-177,WA/TX,november,20,2013,11/20/2013,72.02636212,179.967318,,,
E09,49-177A,WA/TX,november,20,2013,11/20/2013,38.53485362,111.0044745,,,
E14,180-372,WA/MN,november,20,2013,11/20/2013,49.68300604,131.7560264,,,
G03,R-270,Unknown/Europe,november,20,2013,11/20/2013,75.92030887,188.4393113,,,
G14,57-276,WA/MO,november,20,2013,11/20/2013,87.67628594,225.0224393,,,
I14,311-93,WA/Europe,november,20,2013,11/20/2013,101.9278558,230.5476044,,,
D14,49-177,WA/TX,november,21,2013,11/21/2013,51.26754513,135.1096032,,,
G16,50-194,WA/IL,november,21,2013,11/21/2013,84.4381034,241.4356391,,,
H06,R-270,Unknown/Europe,november,21,2013,11/21/2013,81.53987261,208.215334,,,
J07,DN-34,Euro-Americana/Euro-Americana,november,21,2013,11/21/2013,91.35021892,238.4411989,,,
A03,50-194,WA/IL,june,8,2014,6/8/2014,76.59642202,131.8252466,,,
A10,199-586,WA/OK,june,8,2014,6/8/2014,43.72571284,99.30530305,,,
A13,50-194,WA/IL,june,8,2014,6/8/2014,19.02673525,62.95927832,,,
A19,199-586,WA/OK,june,8,2014,6/8/2014,71.52573356,121.6346955,,,
B12,57-276,WA/MO,june,8,2014,6/8/2014,98.46049936,133.0380186,,,
B13,50-194,WA/IL,june,8,2014,6/8/2014,92.96973027,142.7231791,,,
B15,199-586,WA/OK,june,8,2014,6/8/2014,79.80034569,155.4129579,,,
C02,49-177,WA/TX,june,8,2014,6/8/2014,53.76623169,117.7060024,,,
C03,49-177,WA/TX,june,8,2014,6/8/2014,69.3045968,102.3830077,,,
C17,199-586,WA/OK,june,8,2014,6/8/2014,69.0254513,136.7805336,,,
C19,50-194,WA/IL,june,8,2014,6/8/2014,65.84323316,134.8861673,,,
D06,199-586,WA/OK,june,8,2014,6/8/2014,28.7748653,84.53681412,,,
D10,49-177,WA/TX,june,8,2014,6/8/2014,71.45273719,124.9274886,,,
D14,49-177,WA/TX,june,8,2014,6/8/2014,90.98810607,138.0249863,,,
D17,50-194,WA/IL,june,8,2014,6/8/2014,77.65277866,154.4622676,,,
E03,57-276,WA/MO,june,8,2014,6/8/2014,30.10750302,81.95491183,,,
E10,57-276,WA/MO,june,8,2014,6/8/2014,85.3217806,140.3555994,,,
E14,180-372,WA/MN,june,8,2014,6/8/2014,68.65704986,143.9941448,,,
E18,180-372,WA/MN,june,8,2014,6/8/2014,63.93729661,150.7939126,,,
F16,57-276,WA/MO,june,8,2014,6/8/2014,86.98621781,128.8919717,,,
F19,180-372,WA/MN,june,8,2014,6/8/2014,79.01473846,161.0822404,,,
G06,49-177,WA/TX,june,8,2014,6/8/2014,67.65252299,155.0450102,,,
G10,180-372,WA/MN,june,8,2014,6/8/2014,80.27625602,175.6159989,,,
H08,180-372,WA/MN,june,8,2014,6/8/2014,66.89413678,147.0516106,,,
H09,57-276,WA/MO,june,8,2014,6/8/2014,85.30899114,141.8334612,,,
A03,50-194,WA/IL,july,9,2014,7/9/2014,93.19832487,172.0130028,,,
A10,199-586,WA/OK,july,9,2014,7/9/2014,35.78479429,97.85144673,,,
A13,50-194,WA/IL,july,9,2014,7/9/2014,77.08818404,140.2517641,,,
A19,199-586,WA/OK,july,9,2014,7/9/2014,65.4168967,118.5310842,,,
B12,57-276,WA/MO,july,9,2014,7/9/2014,90.93383464,140.5700929,,,
B13,50-194,WA/IL,july,9,2014,7/9/2014,76.51797895,140.1918107,,,
B15,199-586,WA/OK,july,9,2014,7/9/2014,80.54652183,162.0070744,,,
C02,49-177,WA/TX,july,9,2014,7/9/2014,92.59773711,202.4351417,,,
C03,49-177,WA/TX,july,9,2014,7/9/2014,75.72920734,133.9458154,,,
C17,199-586,WA/OK,july,9,2014,7/9/2014,64.96201641,129.4148219,,,
C19,50-194,WA/IL,july,9,2014,7/9/2014,85.82762681,188.8300421,,,
D06,199-586,WA/OK,july,9,2014,7/9/2014,74.17464295,141.3151923,,,
D10,49-177,WA/TX,july,9,2014,7/9/2014,53.42872432,102.9345859,,,
D14,49-177,WA/TX,july,9,2014,7/9/2014,97.25184712,165.1188924,,,
D17,50-194,WA/IL,july,9,2014,7/9/2014,89.44690548,237.6510408,,,
E03,57-276,WA/MO,july,9,2014,7/9/2014,84.8469173,143.4609619,,,
E10,57-276,WA/MO,july,9,2014,7/9/2014,116.098208,188.6635656,,,
E14,180-372,WA/MN,july,9,2014,7/9/2014,57.9262259,136.3203151,,,
E18,180-372,WA/MN,july,9,2014,7/9/2014,57.16868747,122.541633,,,
F16,57-276,WA/MO,july,9,2014,7/9/2014,93.72619051,173.7424944,,,
F19,180-372,WA/MN,july,9,2014,7/9/2014,65.60733371,152.5628272,,,
G06,49-177,WA/TX,july,9,2014,7/9/2014,97.93632821,208.0171227,,,
G10,180-372,WA/MN,july,9,2014,7/9/2014,62.90478718,139.5277919,,,
H08,180-372,WA/MN,july,9,2014,7/9/2014,73.26252359,145.5379249,,,
H09,57-276,WA/MO,july,9,2014,7/9/2014,73.00881166,128.7215022,,,
A03,50-194,WA/IL,september,9,2014,9/9/2014,55.35084498,113.241888,,,
A10,199-586,WA/OK,september,9,2014,9/9/2014,34.01355764,86.47463635,,,
A13,50-194,WA/IL,september,9,2014,9/9/2014,79.4078794,172.7455211,,,
A19,199-586,WA/OK,september,9,2014,9/9/2014,42.44608677,107.3526868,,,
B12,57-276,WA/MO,september,9,2014,9/9/2014,83.5313358,156.8815009,,,
B13,50-194,WA/IL,september,9,2014,9/9/2014,60.60936971,107.4895084,,,
B15,199-586,WA/OK,september,9,2014,9/9/2014,45.53654918,105.7645737,,,
C02,49-177,WA/TX,september,9,2014,9/9/2014,66.25006205,130.3988688,,,
C03,49-177,WA/TX,september,9,2014,9/9/2014,109.0717389,215.3525371,,,
C17,199-586,WA/OK,september,9,2014,9/9/2014,25.81631971,70.46607626,,,
C19,50-194,WA/IL,september,9,2014,9/9/2014,59.56117514,126.6219025,,,
D06,199-586,WA/OK,september,9,2014,9/9/2014,23.70986452,66.27951585,,,
D10,49-177,WA/TX,september,9,2014,9/9/2014,73.57480107,161.7440891,,,
D14,49-177,WA/TX,september,9,2014,9/9/2014,139.2873718,249.0598558,,,
D17,50-194,WA/IL,september,9,2014,9/9/2014,60.50688297,127.4891882,,,
E03,57-276,WA/MO,september,9,2014,9/9/2014,62.00395597,117.7655723,,,
E10,57-276,WA/MO,september,9,2014,9/9/2014,64.42041458,127.7936945,,,
E14,180-372,WA/MN,september,9,2014,9/9/2014,29.76646212,85.11244896,,,
E18,180-372,WA/MN,september,9,2014,9/9/2014,20.9707158,66.93611061,,,
F16,57-276,WA/MO,september,9,2014,9/9/2014,77.33628805,162.7914994,,,
F19,180-372,WA/MN,september,9,2014,9/9/2014,31.39151116,88.71695345,,,
G06,49-177,WA/TX,september,9,2014,9/9/2014,36.27108548,84.30959321,,,
G10,180-372,WA/MN,september,9,2014,9/9/2014,26.74495509,72.42192558,,,
H08,180-372,WA/MN,september,9,2014,9/9/2014,30.17968268,75.20283424,,,
H09,57-276,WA/MO,september,9,2014,9/9/2014,80.89347202,167.0074649,,,
